年齢など,,本人の収入,,,,家族の収入,,,,その他,,,使う予定のお金,,,,,,,,,,,,3区分キャッシュフロー,,,,,,,,,毎年の収支,,,,,貯金の合計,,,
西暦,年齢,お給料,年金など,個人年金等,iDeCo等,お給料,年金など,個人年金等,iDeCo等,資金調達合計,児童手当,経常収入合計,基本生活費,火災保険等,学費など,車の買替等,趣味・他,趣味・他,家族関連,家ローン,将来の積立,保険料,税金・社保,支出合計,経常収入,経常支出,経常収支,臨時収入,臨時支出,臨時収支,資金調達(取崩),資金調達(移管),最終純増減,年間の残金,不定期な出費,実質の貯蓄,満期保険等,保険解約金,ふだん使い,予備のお金,運用の資金,その年の残高
2025,39,860,0,0,0,254,0,0,0,0,80,1194,182.39999999999998,60,71.46031746031747,50,42,64.8,33.6,0,73.2,0,282.64920672,860.1095241803175,1194,860.1095241803175,333.8904758196825,0,0,0,0,0,333.8904758196825,333.8904758196825,0,333.8904758196825,0,0,3399.8904758196823,163,949.47,4512.3604758196825
2026,40,871.8772670821952,0,0,0,430,0,0,0,0,80,1381.8772670821952,184.224,60.6,71.46031746031747,350,42,64.8,43.2,0,73.2,6,262.6959444593872,1158.1802619197047,1381.8772670821952,1158.1802619197047,223.69700516249054,0,0,0,0,0,223.69700516249054,223.69700516249054,0,223.69700516249054,0,0,3623.5874809821726,227.89,991.1541000000001,4842.631580982173
2027,41,883.419760980413,0,0,0,130,0,0,0,0,80,1093.419760980413,186.06623999999996,525.3515,0,145,42,64.8,43.2,163.83656290728302,73.2,6,267.36153811730463,1516.8158410245878,1093.419760980413,1516.8158410245878,-423.3960800441748,0,0,0,0,0,-423.3960800441748,-423.3960800441748,0,-423.3960800441748,0,0,3200.191400937998,294.7267,1034.088723,4529.006823937998
2028,42,894.6122372821999,0,0,0,130,0,0,0,0,74,1098.6122372821999,212.6541264,15.454515000000002,53.595238095238095,50,42,52.8,43.2,163.8365629072826,73.2,6,272.03646842118894,984.7769108237096,1098.6122372821999,984.7769108237096,113.83532645849027,0,0,0,0,0,113.83532645849027,113.83532645849027,0,113.83532645849027,0,0,3314.0267273964882,363.56850099999997,1078.31138469,4755.9066130864885
2029,43,905.4374456948749,0,0,0,130,0,0,0,0,74,1109.437445694875,214.780667664,15.609060150000001,120.10317460317461,50,42,52.8,43.2,163.8365629072821,73.2,6,276.4662460548026,1057.9957113792593,1109.437445694875,1057.9957113792593,51.44173431561558,0,0,0,0,0,51.44173431561558,51.44173431561558,0,51.44173431561558,0,0,3365.468461712104,434.47555602999995,1123.8607262307,4923.804743972803
2030,44,915.8756619641213,0,0,0,130,0,0,0,0,24,1069.8756619641213,216.92847434064,15.765150751500002,120.10317460317461,50,42,52.8,43.2,163.83656290728166,73.2,6,281.6407859809763,1065.4741485835725,1069.8756619641213,1065.4741485835725,4.401513380548749,0,0,0,0,0,4.401513380548749,4.401513380548749,0,4.401513380548749,0,0,3369.8699750926526,507.5098227108999,1170.776548017621,5048.156345821174
2031,45,925.9040533165016,0,0,0,130,0,0,0,0,24,1079.9040533165016,219.0977590840464,15.922802259015002,53.595238095238095,50,42,52.8,43.2,163.8365629072811,73.2,6,285.8086006513858,1005.4609629969664,1079.9040533165016,1005.4609629969664,74.44309031953526,0,0,0,0,0,74.44309031953526,74.44309031953526,0,74.44309031953526,0,0,3444.313065412188,582.7351173922269,1219.0998444581496,5246.148027262565
2032,46,935.4957932757618,0,0,0,130,0,0,0,0,24,1089.4957932757618,221.28873667488685,16.08203028160515,103.47619047619048,50,42,52.8,43.2,163.83656290728055,73.2,6,289.70845201001976,1061.5919723499828,1089.4957932757618,1061.5919723499828,27.903820925778973,0,0,0,0,0,27.903820925778973,27.903820925778973,0,27.903820925778973,0,0,3472.2168863379666,660.2171709139938,1268.8728397918942,5401.306897043854
2033,47,944.6187833503776,0,0,0,131.17,0,0,0,0,24,1099.7887833503776,223.50162404163572,16.242850584421202,103.47619047619048,50,42,52.8,43.2,163.8365629072801,73.2,6,293.7245648749032,1067.981792884431,1099.7887833503776,1067.981792884431,31.806990465946683,0,0,0,0,0,31.806990465946683,31.806990465946683,0,31.806990465946683,0,0,3504.0238768039135,740.0236860414136,1320.139024985651,5564.186587830978
2034,48,953.2337260931945,0,0,0,132.35052999999996,0,0,0,0,24,1109.5842560931944,245.4229751903706,16.405279090265413,139.20634920634922,50,42,52.8,43.2,163.83656290727947,73.2,6,297.57555733383754,1129.6467237281022,1109.5842560931944,1129.6467237281022,-20.06246763490776,0,0,0,0,0,-20.06246763490776,-20.06246763490776,0,-20.06246763490776,0,0,3483.9614091690055,822.2243966226561,1372.9431957352206,5679.129001526882
2035,49,961.2910573559781,0,0,0,133.54168476999996,0,0,0,0,24,1118.832742125978,247.87720494227435,16.56933188116807,139.20634920634922,350,42,52.8,43.2,163.83656290727887,73.2,6,301.21395741627754,1435.9034063533481,1118.832742125978,1435.9034063533481,-317.0706642273701,0,0,0,0,0,-317.0706642273701,-317.0706642273701,0,-317.0706642273701,0,0,3166.8907449416356,906.8911285213358,1427.3314916072773,5501.113365070249
2036,50,968.7256968725188,0,0,0,134.74355993292997,0,0,0,0,24,1127.4692568054488,250.35597699169708,16.73502519997975,192.80158730158732,50,42,52.8,43.2,163.83656290727822,73.2,6,304.4977886001296,1195.426941000672,1127.4692568054488,1195.426941000672,-67.95768419522324,0,0,0,0,0,-67.95768419522324,-67.95768419522324,0,-67.95768419522324,0,0,3098.9330607464126,994.0978623769759,1483.3514363554957,5576.382359478885
